train	test	train_pairs	train_positive_rate	train_accuracy	correct_base_share	wrong_base_share	unclassified_base_share	kraken2_l1	kraken2_unclassified	kaiju_l1	kaiju_unclassified
low75	low75half	1874	0.504803	0.608858	0.224683	0.0147564	0.760561	1.38288	0.68678	1.01812	0.49943
low75half	low75	2233	0.700403	0.70309	0.183131	0.0239383	0.792931	1.46358	0.72703	0.96896	0.46872
