dataset	min_sim	edges_kept	edges_dropped	kraken2_k21_4mer_l1	kraken2_unclassified	kaiju_k21_4mer_l1	kaiju_unclassified
low75	0.5	2066	367	1.46366	0.72707	0.96896	0.46873
low75half	0.5	2977	491	1.3794	0.68491	1.0163	0.49845
