dataset	hypothesis	name	truth	estimated	error
heldout_genera	leakage	Pseudomonas syringae	0.00438	0.018808828	0.014428828
heldout_genera	leakage	Escherichia coli	0.00203	0.0055120661	0.0034820661
heldout_genera	leakage	Escherichia fergusonii	0.00417	0.0039878649	-0.0001821351000000004
heldout_genera	leakage	Shigella boydii	0.11925	0.054842269	-0.064407731
heldout_genera	leakage	Shigella dysenteriae	0.00541	0.0067549812	0.0013449812000000004
heldout_genera	leakage	Shigella flexneri	0.07235	0.06507976	-0.007270239999999997
heldout_genera	leakage	Shigella sonnei	0.00153	0.0063696416	0.0048396416
heldout_genera	leakage	Streptococcus thermophilus	0.00212	0.0	-0.00212
heldout_genera	leakage	Streptococcus mutans	0.00215	7.071296e-05	-0.00207928704
heldout_genera	leakage	Streptococcus agalactiae	0.00328	0.00039057506	-0.00288942494
heldout_genera	leakage	Streptococcus pneumoniae	0.07955	0.098409528	0.018859528
heldout_genera	leakage	Streptococcus pyogenes	0.01527	0.0022277879	-0.0130422121
heldout_genera	leakage	Escherichia albertii	0.01271	0.015887686	0.0031776860000000007
heldout_genera	leakage	Pseudomonas protegens	0.08114	0.096187527	0.015047526999999991
heldout_genera	leakage	Escherichia marmotae	0.05776	0.066451762	0.008691761999999999
heldout_genera	leakage	Escherichia ruysiae	0.00715	0.012497971	0.005347971
heldout_genera	logistic_drop	unclassified	0.0	0.24674881	0.24674881
heldout_genera	logistic_drop	Pseudomonas aeruginosa	0.08399	0.040889079	-0.04310092099999999
heldout_genera	logistic_drop	Pseudomonas fluorescens	0.28199	0.16130325	-0.12068675000000001
heldout_genera	logistic_drop	Pseudomonas putida	0.16377	0.11243181	-0.051338190000000006
heldout_genera	logistic_drop	Pseudomonas syringae	0.00438	0.011754176	0.007374176
heldout_genera	logistic_drop	Escherichia coli	0.00203	0.0046354177	0.0026054177
heldout_genera	logistic_drop	Escherichia fergusonii	0.00417	0.0032017128	-0.0009682872
heldout_genera	logistic_drop	Shigella boydii	0.11925	0.053696691	-0.065553309
heldout_genera	logistic_drop	Shigella dysenteriae	0.00541	0.0063418835	0.0009318835000000003
heldout_genera	logistic_drop	Shigella flexneri	0.07235	0.065927249	-0.006422751000000004
heldout_genera	logistic_drop	Shigella sonnei	0.00153	0.0058730993	0.0043430993
heldout_genera	logistic_drop	Streptococcus thermophilus	0.00212	0.0	-0.00212
heldout_genera	logistic_drop	Streptococcus mutans	0.00215	0.00013714029	-0.00201285971
heldout_genera	logistic_drop	Streptococcus agalactiae	0.00328	0.00028339793	-0.00299660207
heldout_genera	logistic_drop	Streptococcus pneumoniae	0.07955	0.098837499	0.019287499
heldout_genera	logistic_drop	Streptococcus pyogenes	0.01527	0.001840567	-0.013429433000000001
heldout_genera	logistic_drop	Escherichia albertii	0.01271	0.013861046	0.0011510459999999993
heldout_genera	logistic_drop	Pseudomonas protegens	0.08114	0.088708112	0.007568112000000002
heldout_genera	logistic_drop	Escherichia marmotae	0.05776	0.071083116	0.013323116000000003
heldout_genera	logistic_drop	Escherichia ruysiae	0.00715	0.012445956	0.005295955999999999
