dataset	situation	n	bases	node_error_rate	base_error_rate	same_genus_bases	other_genus_bases	unclassified_bases
samovar10	vote_matches_call	350	34706240	0.0	0.0	0	0	0
samovar10	vote_matches_truth	9	853044	1.0	1.0	453044	0	400000
samovar10	vote_matches_wrong_call	20	1973006	1.0	1.0	1973006	0	0
samovar10	vote_other	20	1753848	0.05	0.016800771788661274	0	29466	0
